"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.image_url","Answer.Q1","Answer.Q10","Answer.Q11","Answer.Q12","Answer.Q13","Answer.Q14","Answer.Q15","Answer.Q16","Answer.Q17","Answer.Q18","Answer.Q19","Answer.Q2","Answer.Q3","Answer.Q4","Answer.Q5","Answer.Q6","Answer.Q7","Answer.Q8","Answer.Q9","Approve","Reject"
"301KG0KX9C5L9V3BT20T6WOYHCY2HK","3HWC0N12H6RYM90FAVOCZ3NTTJ5U6V","Survey to find sexual intentions behind images (WARNING: This HIT may contain adult content. Worker discretion is advised.)","This task is trying to capture sexual intention behind images.","Celebrity, Images, classification, Sexual, Intention","$0.02","Fri Apr 01 18:57:11 PDT 2016","3","BatchId:2337509;","1800","172800","Fri Apr 08 18:57:11 PDT 2016","","","30BXRYBRP5HA8VZCXOU2INZ7VU5HW0","A29NA4283YJ26D","Approved","Sat Apr 02 03:58:05 PDT 2016","Sat Apr 02 03:59:13 PDT 2016","Mon Apr 04 03:59:13 PDT 2016","2016-04-04 11:02:37 UTC","","","68","100% (312/312)","100% (312/312)","100% (312/312)","https://people.cs.pitt.edu/~debashis/MLProjectImages/DemiLovato_03.jpg","0","0|1","1","0","0","2","1","0","1","0","0","1|3","2","4","1","2","0","1","0"
"301KG0KX9C5L9V3BT20T6WOYHCY2HK","3HWC0N12H6RYM90FAVOCZ3NTTJ5U6V","Survey to find sexual intentions behind images (WARNING: This HIT may contain adult content. Worker discretion is advised.)","This task is trying to capture sexual intention behind images.","Celebrity, Images, classification, Sexual, Intention","$0.02","Fri Apr 01 18:57:11 PDT 2016","3","BatchId:2337509;","1800","172800","Fri Apr 08 18:57:11 PDT 2016","","","336YQZE83WY2NQL3SKN6KSUQSJVM5S","A2C2RXXEQ5DAIT","Approved","Sat Apr 02 01:34:04 PDT 2016","Sat Apr 02 01:35:08 PDT 2016","Mon Apr 04 01:35:08 PDT 2016","2016-04-04 08:37:37 UTC","","","64","100% (160/160)","100% (160/160)","100% (160/160)","https://people.cs.pitt.edu/~debashis/MLProjectImages/DemiLovato_03.jpg","1","0","0","0","1","2","1","0","1","0","0","1|3|4","2","4","1","1","1","1","0"
"301KG0KX9C5L9V3BT20T6WOYHCY2HK","3HWC0N12H6RYM90FAVOCZ3NTTJ5U6V","Survey to find sexual intentions behind images (WARNING: This HIT may contain adult content. Worker discretion is advised.)","This task is trying to capture sexual intention behind images.","Celebrity, Images, classification, Sexual, Intention","$0.02","Fri Apr 01 18:57:11 PDT 2016","3","BatchId:2337509;","1800","172800","Fri Apr 08 18:57:11 PDT 2016","","","373ERPL3YPSV589LYO1L97UEE9IRTE","A33BEWJMWOV0YP","Approved","Sat Apr 02 02:52:25 PDT 2016","Sat Apr 02 02:53:55 PDT 2016","Mon Apr 04 02:53:55 PDT 2016","2016-04-04 09:57:37 UTC","","","90","100% (32/32)","100% (32/32)","100% (32/32)","https://people.cs.pitt.edu/~debashis/MLProjectImages/DemiLovato_03.jpg","1","0","0","0","0","2","1","0","1","0","0","1|2","2","4","1","2","0","1","0"
"301KG0KX9C5L9V3BT20T6WOYHCYH2Z","3HWC0N12H6RYM90FAVOCZ3NTTJ5U6V","Survey to find sexual intentions behind images (WARNING: This HIT may contain adult content. Worker discretion is advised.)","This task is trying to capture sexual intention behind images.","Celebrity, Images, classification, Sexual, Intention","$0.02","Fri Apr 01 18:57:28 PDT 2016","3","BatchId:2337509;","1800","172800","Fri Apr 08 18:57:28 PDT 2016","","","345LHZDEDYCIMJ38N3QZW5D0RAPU3M","A29NA4283YJ26D","Approved","Sun Apr 03 04:30:06 PDT 2016","Sun Apr 03 04:31:02 PDT 2016","Tue Apr 05 04:31:02 PDT 2016","Mon Apr 04 12:03:44 PDT 2016","","","56","100% (312/312)","100% (312/312)","100% (312/312)","https://people.cs.pitt.edu/~debashis/MLProjectImages/AshleyGreene_05.jpg","1","0|1","2","0","0","2","2","0","1","1","0","1|3|4","3","4","4","2","1","1","0"
"301KG0KX9C5L9V3BT20T6WOYHCYH2Z","3HWC0N12H6RYM90FAVOCZ3NTTJ5U6V","Survey to find sexual intentions behind images (WARNING: This HIT may contain adult content. Worker discretion is advised.)","This task is trying to capture sexual intention behind images.","Celebrity, Images, classification, Sexual, Intention","$0.02","Fri Apr 01 18:57:28 PDT 2016","3","BatchId:2337509;","1800","172800","Fri Apr 08 18:57:28 PDT 2016","","","31QNSG6A5SD2P5XIMCSKDU7RZLC78H","A3CPPBPJ602FG1","Approved","Sat Apr 02 20:42:55 PDT 2016","Sat Apr 02 20:45:23 PDT 2016","Mon Apr 04 20:45:23 PDT 2016","Mon Apr 04 12:03:44 PDT 2016","","","148","100% (4/4)","100% (4/4)","100% (4/4)","https://people.cs.pitt.edu/~debashis/MLProjectImages/AshleyGreene_05.jpg","1","0","0","0","0","2","1","0","1","0","0","1|4","1","3","4","2","1","1","0"
"301KG0KX9C5L9V3BT20T6WOYHCYH2Z","3HWC0N12H6RYM90FAVOCZ3NTTJ5U6V","Survey to find sexual intentions behind images (WARNING: This HIT may contain adult content. Worker discretion is advised.)","This task is trying to capture sexual intention behind images.","Celebrity, Images, classification, Sexual, Intention","$0.02","Fri Apr 01 18:57:28 PDT 2016","3","BatchId:2337509;","1800","172800","Fri Apr 08 18:57:28 PDT 2016","","","3EO896NRAXFE7KQ8QJSC7G8N4TTJTL","A5A3RWGAUQDCA","Approved","Sat Apr 02 18:42:07 PDT 2016","Sat Apr 02 18:45:13 PDT 2016","Mon Apr 04 18:45:13 PDT 2016","Mon Apr 04 12:03:44 PDT 2016","","","186","100% (1/1)","100% (1/1)","100% (1/1)","https://people.cs.pitt.edu/~debashis/MLProjectImages/AshleyGreene_05.jpg","1","0|2","0","0","0","2","1","0","1","1","0","1|3","2","3","4","2","1","1","2"
"301KG0KX9C5L9V3BT20T6WOYHCZ2HL","3HWC0N12H6RYM90FAVOCZ3NTTJ5U6V","Survey to find sexual intentions behind images (WARNING: This HIT may contain adult content. Worker discretion is advised.)","This task is trying to capture sexual intention behind images.","Celebrity, Images, classification, Sexual, Intention","$0.02","Fri Apr 01 18:57:34 PDT 2016","3","BatchId:2337509;","1800","172800","Fri Apr 08 18:57:34 PDT 2016","","","36H9ULYP63E4OF87VZNNQCTMDWDFJP","A2ML4TEAJTDQD0","Approved","Sun Apr 03 13:24:43 PDT 2016","Sun Apr 03 13:26:09 PDT 2016","Tue Apr 05 13:26:09 PDT 2016","Mon Apr 04 12:03:44 PDT 2016","","","86","100% (28/28)","100% (28/28)","100% (28/28)","https://people.cs.pitt.edu/~debashis/MLProjectImages/TaylorMomsen_03.jpg","1","0","0","0","0","2","1","0","1","1","0","1|3","2","4","1","1","0","0","0"
"301KG0KX9C5L9V3BT20T6WOYHCZ2HL","3HWC0N12H6RYM90FAVOCZ3NTTJ5U6V","Survey to find sexual intentions behind images (WARNING: This HIT may contain adult content. Worker discretion is advised.)","This task is trying to capture sexual intention behind images.","Celebrity, Images, classification, Sexual, Intention","$0.02","Fri Apr 01 18:57:34 PDT 2016","3","BatchId:2337509;","1800","172800","Fri Apr 08 18:57:34 PDT 2016","","","3AMW0RGHOEMCYIOMO0BKVDO7OMYPNZ","A3J90XAURVTJBW","Approved","Sun Apr 03 12:42:25 PDT 2016","Sun Apr 03 12:45:40 PDT 2016","Tue Apr 05 12:45:40 PDT 2016","Mon Apr 04 12:03:44 PDT 2016","","","195","100% (2/2)","100% (2/2)","100% (2/2)","https://people.cs.pitt.edu/~debashis/MLProjectImages/TaylorMomsen_03.jpg","1","0","0","0","0","2","1","0","2","1","0","1|3","2","4","1","1","1","1","0"
"301KG0KX9C5L9V3BT20T6WOYHCZ2HL","3HWC0N12H6RYM90FAVOCZ3NTTJ5U6V","Survey to find sexual intentions behind images (WARNING: This HIT may contain adult content. Worker discretion is advised.)","This task is trying to capture sexual intention behind images.","Celebrity, Images, classification, Sexual, Intention","$0.02","Fri Apr 01 18:57:34 PDT 2016","3","BatchId:2337509;","1800","172800","Fri Apr 08 18:57:34 PDT 2016","","","3IO1LGZLKAHJL5JD32NS7G7V4AV68K","ANS32KK8E96UK","Approved","Sat Apr 02 23:20:19 PDT 2016","Sat Apr 02 23:21:34 PDT 2016","Mon Apr 04 23:21:34 PDT 2016","Mon Apr 04 12:03:44 PDT 2016","","","75","100% (43/43)","100% (43/43)","100% (43/43)","https://people.cs.pitt.edu/~debashis/MLProjectImages/TaylorMomsen_03.jpg","1","0","0","0","0","2","1","0","1","0","0","1|3|5","2","4","1","1","1","1","0"
"302OLP89DZRJXQNZKPF71NAGG8LACQ","3HWC0N12H6RYM90FAVOCZ3NTTJ5U6V","Survey to find sexual intentions behind images (WARNING: This HIT may contain adult content. Worker discretion is advised.)","This task is trying to capture sexual intention behind images.","Celebrity, Images, classification, Sexual, Intention","$0.02","Fri Apr 01 18:57:00 PDT 2016","3","BatchId:2337509;","1800","172800","Fri Apr 08 18:57:00 PDT 2016","","","3FTYUGLFSV5ZJWFQFRO3127WJ2ID5A","A2HK2CV0Z4CW4U","Approved","Fri Apr 01 22:41:43 PDT 2016","Fri Apr 01 22:43:55 PDT 2016","Sun Apr 03 22:43:55 PDT 2016","2016-04-04 05:47:38 UTC","","","132","50% (1/2)","50% (1/2)","50% (1/2)","https://people.cs.pitt.edu/~debashis/MLProjectImages/KellanLutz_03.jpg","1","0","0","0","0","4","1","2","2","0","0","3","2","4","2","1","1","1","2"
